question,label
근무중에 화상을 입었어,S-LOC S-INJURY O
화상을 입었어,S-INJURY O
공장에서 넘어졌어,S-LOC S-ACC
공장에서 화상을 입었어,O S-INJURY O
공장 2층에서 떨어졌어,O O S-ACC
재택근무를 하던중에 집에 불이났어,B-LOC E-LOC O S-ACC
공장에서 화재가 났어,S-LOC S-ACC O
공장에서 불이났어,S-LOC S-ACC
상급자의 조작미숙으로 손가락을 다쳤어,O O B-INJURY E-INJURY
기계 조작이 미숙해서 사고가 났어,O O O O O
좋지않은 환경에서 업무를 진행하다 사고가 발생했어,O O B-LOC E-LOC O O
작업 발판이 부서져서 떨어졌어,O O O S-ACC
땅을파다 토사에 매몰됐어,O B-ACC E-ACC
유리창이 깨져서 수술을했어,O O S-INJURY
무너진 건물에 깔렸어,O B-ACC E-ACC
건물 철거현장에서 무너진 건물에 깔렸어,B-LOC E-LOC O B-ACC E-ACC
건물 철거현장에서 무너진 건물에 매몰됐어,B-LOC E-LOC O B-ACC E-ACC
사고가 났어 공장에서,O O S-LOC
6월 8일 사고가 났어 작업중에,O O O O S-LOC
회사에서 사고가 났어,S-LOC O O
회사에서 상해를 입었어,S-LOC O O
퇴근중에 사고가 났어,S-LOC O O
퇴근중에 교통사고가 났어,S-LOC S-ACC O
공사현장에서 사고가 났어,S-LOC O O
2월에 사고가 났어,O O O
2월에 공사현장에서 사고가 났어,O S-LOC O O
넘어졌어 공장에서,S-ACC S-LOC
공장에서 넘어졌는데,S-LOC S-ACC
작업 현장에서 넘어졌는데,B-LOC E-LOC S-ACC
사고가 공장에서 났어,O S-LOC O
화재사고가 공장에서 났어,S-ACC S-LOC O
추락사고가 공장에서 났어,S-ACC S-LOC O
떨어지는 일이 생겼어 공장에서,B-ACC E-ACC O S-LOC
공장 2층에서 떨어지는 일이 생겼어,S-LOC O B-ACC E-ACC O
업무를 너무 열심히 했는지 좀 아파,O O O O O O
정전기가 발생해서 공장에 불이났어,O O S-LOC S-ACC
2월 3일에 현장에서 사고가 났어,O O S-LOC O O
2월 5일에 공장에서 사고가 났어,O O S-LOC O O
1월 11일에 사고가 났어,O O O O
8월 22일에 사고가 났어,O O O O
3월 8일부터 다쳐서 요양중이야,O O O O
7월 12일에 난 사고로 아직도 일을 못하는 중이야,O O O O O O O O
5월내내 일을 못했어 2월에 난 사고 때문에,O O O O O O O
9월 12일에 사고가 났어,O O O O
10월 10일에 사고가 났어,O O O O
12월 31일에 사고가 났어,O O O O
지난주에 사고가 났어,O O O
지난주에 회사에서 다쳤어,O S-LOC O
지난주에 공장에서 다쳤어,O S-LOC O
지난주에 사무실에서 다쳤어,O S-LOC O
지난주에 작업중에 다쳤어,O S-LOC O
작업 현장에서 철근에 깔렸어,B-LOC E-LOC B-ACC E-ACC
철거 현장에서 철근에 깔렸어,B-LOC E-LOC B-ACC E-ACC
아 공장에서 넘어졌어 ㅠㅠ,O S-LOC S-ACC O
우리 사무실에 불이났어 !!!,O S-LOC S-ACC O
어제 사무실에 화재 발생,O S-LOC B-LOC E-LOC
어제 현장에서 넘어졌어,O S-LOC S-ACC
4일전에 공장에서 다쳐서 병원에 입원중이야,O S-LOC O O O
공장에서 다쳐서 요양중,S-LOC O O
현장에서 다쳤어,S-LOC O
건설현장에서 다쳤어,S-LOC O
공사중에 다쳤어,S-LOC O
공사중에 넘어졌어,S-LOC S-ACC
공사현장 2층에서 떨어졌어,S-LOC B-ACC E-ACC
사다리에서 떨어졌어,B-ACC E-ACC
2층에서 떨어졌어,B-ACC E-ACC
현장 사다리에서 떨어졌어,S-LOC B-ACC E-ACC
떨어졌어 2층에서,B-ACC E-ACC
떨어짐 공장 2층,B-ACC I-ACC E-ACC
추락사고 공장에서,S-ACC S-LOC
추락사고 건설 현장에서,S-ACC B-LOC E-LOC
공장에서 추락함,S-LOC S-ACC
현장에서 추락함,S-LOC S-ACC
현장에서 떨어짐 3미터 정도?,S-LOC S-ACC O O
공장에서 기계에 손이 끼었어,S-LOC O B-ACC E-ACC
기계에 손이 끼었어,O B-ACC E-ACC
기계에 발을 찧었어,O B-ACC E-ACC
하… 공장에서 다쳤는데..,O S-LOC O
아 현장에서 넘어졌어 ㅠㅠ,O S-LOC S-ACC O
공장에서 다친지 일주일쯤 됐어,S-LOC O O O
공장에서 사고난지 한달쯤 됐어,S-LOC O O O
업무 수행중에 사고가 났어,B-LOC E-LOC O O
업무 수행 중에 걸려 넘어지는 사고가 났어,B-LOC I-LOC E-LOC B-ACC E-ACC O O
업무 수행 중에 넘어지는 사고가 났어,B-LOC I-LOC E-LOC S-ACC O O
업무수행중에 토사에 매몰되는 사고가 났어,S-LOC B-ACC E-ACC O O
덤프트럭에 탄 채 매립업무를 수행하다가 지뢰폭발사고 를 당했어,O O O B-LOC E-LOC S-ACC O O
혼자서 작업하다가 사고를 당했어,O S-LOC O O
혼자서 작업하다가 사다리에서 떨어지는 사고를 당했어,O S-LOC B-ACC E-ACC O O
작업중 추락사고 발생,S-LOC S-ACC O
작업중 실족사고 발생,S-LOC S-ACC O
작업중 다침,S-LOC O
근무중 다침,S-LOC O
출근중 다침,S-LOC O
통근버스를 타고 가다가 교통사고가 났어,S-LOC O O S-ACC O
통근버스에서 교통사고가 났어,S-LOC S-ACC O
퇴근버스를 타고 가다가 교통사고가 났어,S-LOC O O S-ACC O
퇴근버스에서 교통사고가 났어,S-LOC S-ACC O
퇴근중에 바닥에 넘어졌어,S-LOC B-ACC E-ACC
회사앞에서 넘어졌어,S-LOC S-ACC
기계가 오래돼서 수리중에 다쳤어,O O O O
기계 수리중에 사고가 났어,O O O O
기계 오작동으로 사고가 났어,O O O O
출근시간에 회사로가는 횡단보도에서 사고가 났어,S-LOC O O O O
회사를 가는중에 회사앞 횡단보도에서 사고가 났어,B-LOC E-LOC O O O O
근무시간에 다쳤어,S-LOC O
근무중 사고가 남,S-LOC O O
작업중 사고가 남,S-LOC O O
작업중 사고 발생,S-LOC O O
출근후 사고가 났음,S-LOC O O
출근후 근무시간에 사고가 났어,O S-LOC O O
출근 후 근무시간중에 사고발생,O O S-LOC O
출근 후 업무시간에 사고발생,O O S-LOC O
출근 후 업무중 사고 발생,O O S-LOC O O
"출근 준비시간, 통근버스를 기다리던 중 사고가 났어",O O S-LOC O O O O
통근버스를 기다리는 중에 차에 치었어,S-LOC O O O O
통근버스에 치었어,S-LOC S-ACC
자차로 출근중 접촉사고가 났어,B-LOC E-LOC S-ACC O
자차로 퇴근중 접촉사고가 났어,B-LOC E-LOC S-ACC O
공사장에서 사고가 났어,S-LOC O O
공사장에서 추락했어,S-LOC S-ACC
공사장에서 추락사고 발생,S-LOC S-ACC O
공사장에서 넘어졌어,S-LOC S-ACC
공사장에서 흙에 파묻혔어,S-LOC B-ACC E-ACC
공사장에서 철근에 깔렸어,S-LOC B-ACC E-ACC
공사현장에서 철근에 깔리는 사고가 났어,S-LOC B-ACC E-ACC O O
공사현장에서 철근에 깔렸어,S-LOC B-ACC E-ACC
공사장에서 포크레인에 부딪혔어,S-LOC B-ACC E-ACC
공사장에서 넘어졌어,S-LOC S-ACC
출근중 언땅에 미끄러졌어,S-LOC B-ACC E-ACC
퇴근중 언땅에 미끄러졌어,S-LOC B-ACC E-ACC
출근 중 언 땅에 미끄러졌어,S-LOC O O B-ACC E-ACC
퇴근 중 언 땅에 미끄러졌어,S-LOC O O B-ACC E-ACC
아니 내가 작업시간중에 사고가 났어,O O S-LOC O O
그러니까 내가 근무시간 중에 사고가 났어,O O S-LOC O O O
아니 내가 근무시간 중에 사고가 났어,O O S-LOC O O O
내가 근무시간 중에 다쳤어,O S-LOC O O
내가 근무시간 중에 사고가 났어,O S-LOC O O O
아니 사고가 났는데 근무시간 중이었어,O O O S-LOC O
내가 사고가 났는데 근무중 이었어,O O O S-LOC O
내가 다쳤는데 그게 작업중 이었어,O O O S-LOC O
내가 사고가 났는데 그게 마침 쉬는시간 이었어,O O O O O O O
사고가 났는데 출장중 이었어,O O S-LOC O
사고가 났는데 출근중 이었어,O O S-LOC O
사고가 났는데 퇴근중 이었어,O O S-LOC O
"사고발생, 8일전, 출근중",O O S-LOC
"사고발생, 10일전, 근무시간중",O O S-LOC
2년전에 공사현장에서 사고가 났는데 이것도 알수 있으려나??,O S-LOC O O O O O
2년전에 공장에서 사고가 났는데 이것도 알수 있으려나??,O S-LOC O O O O O
작업시간중 공장에서 사고가 발생했는데 관련 정보 알려줘,B-LOC E-LOC O O O O O
근무시간중 공장에서 사고가 발생했는데 관련 정보 알려줘,B-LOC E-LOC O O O O O
출근중 도로에서 교통사고가 발생했는데 관련 정보 알려줘,S-LOC O S-ACC O O O O
회식이 끝나고 집에 가던중 사고가 났어,S-LOC O O O O O
출장중 교통사고 판결문 보여줘,S-LOC S-ACC O O
작업시간중 추락사고 판결문 궁금해,S-LOC S-ACC O O
추락사고 판결문들이 궁금해,S-ACC O O
공사현장 휴게실에 3시간동안 갇혀있었어,S-LOC O O O
실외기 수리작업중 발목을 접질렀어,O S-LOC B-INJURY E-INJURY
눈이와서 미끄러운 회사정문에서 미끄러졌어,O O S-LOC S-ACC
회사 야유회에서 등산중 발목을 다쳤어,O S-LOC O B-ACC E-ACC
회사 체육대회에서 달리기를 하던중 넘어져서 손목이 부러졌어,O S-LOC O O S-ACC B-INJURY E-INJURY
회사 체육대회 에서 넘어졌어,O S-LOC O S-ACC
회사 야유회를 가던중 교통사고가 났어,O S-LOC O S-ACC O
10일전 업무시간에 화상을 입었어,O S-LOC S-INJURY O
공사장에 불이나서 화상을 입었어,S-LOC S-ACC S-INJURY O
비가오던날 공사장에서 흙에 파묻혔어,O S-LOC B-ACC E-ACC
비가오던 공사현장에서 철근에 깔렸어,O S-LOC B-ACC E-ACC
비가오던 공사현장에서 미끄러져 넘어졌어,O S-LOC O S-ACC
비가오던 공사장에서 실족해서 떨어졌어,O S-LOC B-ACC E-ACC
공사장에서 실족했어,S-LOC S-ACC
출근중 교통사고 발생,S-LOC S-ACC O
출장지로 가던중 교통사고가 났어,S-LOC O S-ACC O
출장지에서 화재사고 발생,S-LOC S-ACC O
출장 근무지에서 넘어졌어,B-LOC E-LOC S-ACC
출장 근무지에서 추락사고가 났어,B-LOC E-LOC S-ACC O
야유회를 갔다가 넘어졌어,S-LOC O S-ACC
야유회에서 추락사고 발생,S-LOC S-ACC O
회사 행사장에 불이났어,O S-LOC S-ACC
업무 수행중에 교통사고가 났어,B-LOC E-LOC S-ACC O
업무시간에 손목이 부러졌어,S-LOC B-INJURY E-INJURY
작업시간중 추락사고 상황좀 알수있을까,S-LOC S-ACC O O
작업시간중 추락사고 판결문좀 보여줘,S-LOC S-ACC O O
작업시간중 추락사고 판결문이 궁금해,S-LOC S-ACC O O
작업시간중 추락사고에 대한 정보좀 알려줘,S-LOC S-ACC O O O
출근시간중 교통사고에 대한 정보좀 알려줘,S-LOC S-ACC O O O
출근시간 교통사고 정보가 궁금해,S-LOC S-ACC O O
추락사고가 나서 요양중이야,S-ACC O O
남편이 공사장에서 무너지는 건물에 깔려 사망했어,O S-LOC O O S-ACC S-INJURY
작업하다가 다쳤어,S-LOC O
업무시간에 다쳤어,S-LOC O
근무중에 다쳤어,S-LOC O
퇴근시간에 교통사고가 났어,S-LOC S-ACC O
퇴근길에 다쳤어,S-LOC O
퇴근길에 오토바이랑 박았어,S-LOC B-ACC E-ACC
출근길에 오토바이랑 박았어,S-LOC B-ACC E-ACC
공장에서 넘어지는 사고가 났는데 휴업급여가 궁금해,S-LOC S-ACC O O O O
출근길에 횡단보도에서 자동차랑 충돌했어,S-LOC O B-ACC E-ACC
출근중에 횡단보도에서 자동차랑 충돌했어,S-LOC O B-ACC E-ACC
자동차사고가 났어 출근길에,S-ACC O S-LOC
차사고가 났어 출근중에,S-ACC O S-LOC
용접작업중에 사고가 났어,S-LOC O O
작업을하러 가다가 사고가 났어,S-LOC O O O
정비작업 중에 정비기계의 오작동으로 손가락이 잘렸어,S-LOC O O O B-INJURY E-INJURY
정비작업 중에 기계에 깔려서 발목이 부러졌어,S-LOC O B-ACC E-ACC B-INJURY E-INJURY
"발목이 부러졌어, 정비작업을 하기위해 기계를 세팅하던중에",B-INJURY E-INJURY S-LOC O O O
작업을 하기위해 기계를 옮기던중에 기계와 부딪혔어,S-LOC O O O B-ACC E-ACC
떨어지는 사고가 났어,S-ACC O O
떨어졌어 공사장에서,S-ACC S-LOC
추락했어 공사장에서,S-ACC S-LOC
작업현장 청소를 하던중 넘어졌어,S-LOC O O S-ACC
기계가 폭발해서 화상을 입었어,O S-ACC S-INJURY O
기계가 폭발해서 손목을 잃었어,O S-ACC S-INJURY O
기계 오작동으로 손가락을 잃었어,O O S-INJURY O
사고로 팔을 잃었어,O S-INJURY O
사고가 나서 발목을 잃었어,O O S-INJURY O
손가락을 잃는 사고를 당했어,S-INJURY O O O
작년에 다니던 회사에서 화재사고를 당했어,O O O S-ACC O
작년에 다니던 회사에서 손가락을 잃는 사고를 당했어,O O O S-INJURY O O O
작업중 손가락을 잃는 사고를당했어,S-LOC S-INJURY O O
용접 작업중에 시력을 잃었어,B-LOC E-LOC S-INJURY O
현장에 설치된 와이어에 걸려 넘어졌어,S-LOC O O B-ACC E-ACC
현장 계단에서 실족했어,B-LOC E-LOC S-ACC
현장 계단에서 미끄러져 넘어졌어,B-LOC E-LOC O S-ACC
현장의 임시계단이 무너져서 떨어졌어,S-LOC O O S-ACC
현장의 임시계단이 무너져서 추락하는 사고가 발생했어,S-LOC O O S-ACC O O
회식중 회식장소에서 화재가 발생해서 화상을 입었어,S-LOC O S-ACC O S-INJURY O
회식중 의자가 부서져서 골절상을 당했어,S-LOC B-ACC E-ACC S-INJURY O
회사화장실에서 미끄러져 넘어졌어,S-LOC O S-ACC
작업현장 청소중에 화학약품에 노출됐어,S-LOC O O O
작업현장 뒷정리중 넘어졌어,S-LOC O S-ACC
작업현장에서 사고가 났어,S-LOC O O
현장에서 사고가 났어,S-LOC O O
작업을마치고 퇴근하던중에 교통사고가 났어,O S-LOC S-ACC O
퇴근길에 마주오는 차량에 부딪혔어,S-LOC O B-ACC E-ACC
회식중에 동료에게 폭행을 당했어,S-LOC O O O
회식장소 주차장에서 후진하던 차량에 교통사고가 났어,S-LOC O O O S-ACC O
작업중 절단사고에 관한 판결문을 알고싶어,S-LOC S-ACC O O O
아버지께서 근무중 상해를 입으셔서 수술후 지금 중환자실에 있는 상태입니다.,O S-LOC O O S-INJURY O O O O
5월27일날 출근하다가 교통사고가 나서 입원을 하고있습니다.,O S-LOC S-ACC O O O
새벽 야쿠르트 배달을 하다가 계단에서 구르면서 인대가 파열 되었어요.,O O S-LOC O O S-ACC B-INJURY E-INJURY O
공사장에서 소형전동글라인더로 다리가 찢어져서 봉합을했습니다,S-LOC O B-INJURY E-INJURY O
저희 신랑이 저번달 중순쯤 일을하다 다리가 다쳐서 입원을 하게되었어요.,O O O O S-LOC S-INJURY O O O
주방에서 커팅하다가 기계에 손바닥이찔려 근육손상봉합수술하고 하루입원했어요,S-LOC O O S-INJURY O O
작업장에서 운반을 하다가 뼈가 부러질 정도로 다리를 접지르셨다고 합니다.,S-LOC O O O O O B-INJURY E-INJURY O
제가 일하는 중에 화장실이 2층에 계단이 좀많은데 내려가던중 굴러 떨어져 발에 실금과 쇄골에 골절이 생겼습니다,O S-LOC O O O O O O B-ACC E-ACC B-INJURY I-INJURY I-INJURY E-INJURY O
"안녕하세요 이번 21년4월24일 배달중 사고가 나서 현재까지 수술, 입원치료중입니다",O O O S-LOC O O O S-INJURY O
회사를 다니다가 일하는도중 빠르게 하다보니 부주의로 손가락 들어가있는채로 스위치 눌러서 손가락끝부분이 짓물러졌어요,O O S-LOC O O O O O O O B-INJURY E-INJURY
남자친구가 지금 일하는도중 사고로 입원해서 수술 받은 상태입니다.,O O S-LOC O O O O O
제가 얼마전에 작업도중 사고를 당해서 일주일 입원하고 3주째 집에서 쉬면서 병원을 다니고 있습니다.,O O S-LOC O O O O O O O O O O
회사에서 업무중 너무 더워서 창문을 열기 위해 창문을 열려면 장비 위로 올라가서 열어야해서 그 과정에서 창문을 열고 내려오다가 미끄러졌습니다.,O S-LOC O O O O O O O O O O O O O O O O S-ACC
업무중 (가정집 방문중) 보행사고를 당했습니다.,S-LOC O O S-ACC O
저는최근현장에서 작업중 오른쪽엄지가 절단은아니고 상해를입어 손톱밑살이 상실되어 발피부를 이식해서 수술했습니다.,O S-LOC B-INJURY O E-INJURY O O O O O
건설현장에서 일하다가 다쳐서 반월상연골 절제수술 했습니다.,B-LOC E-LOC O B-INJURY E-INJURY O
회사에서 일하다가 손에 3도화상이 됐습니다,B-LOC E-LOC B-INJURY E-INJURY O
무거운 장비를 드는 일하다 허리가 부러져 수술을 받았어요,O O O S-LOC B-INJURY E-INJURY O O
일을 하다가 문에 손이 찧었는데 혹시 산재처리가 가능할까요?,B-LOC E-LOC O B-INJURY E-INJURY O O O
일을하다 5월17일 발목이 접질려서 병원에 가서 진료를 받았습니다.,S-LOC O B-INJURY E-INJURY O O O O
며칠전 근로중 기계에 손가락이 껴 뼈가 으스러지는 사고를 당했습니다.,O S-LOC O B-ACC E-ACC B-INJURY E-INJURY O O
일을 하다가 넘어져 손가락을 다쳤습니다 손가락 골절 6주 진단이 나왔습니다,O O S-LOC B-INJURY E-INJURY O O O O O
일하다가 날아온 쇠봉에맞아 척추뼈 날개처럼있는 부분이 3개가 부러졌습니다.,S-LOC O S-ACC S-INJURY O O O O
저번주 목요일 출근길에 발목을 접지르고 점심에 근처 병원에 가서 엑스레이랑 약국 처방도 받았습니다.,O O S-LOC B-INJURY E-INJURY O O O O O O O O
현장에서 포크레인에 오른쪽 내측 무릎 을 부딛혀 반월상연골판 파열 절제술을 받았습니다.,S-LOC O B-INJURY I-INJURY E-INJURY O S-ACC O O O O
신랑이 일하다 창고서 사다리에서 떨어져서 오른쪽 종아리 근육파열과 외상이 있엇습니다,O S-LOC O B-ACC E-ACC O B-INJURY E-INJURY O O
대기업 건설현장 협력업체로 일하는중에 차바퀴에 깔려 발쪽 분쇄골절되고 공상처리중 입니다.,O O O S-LOC B-ACC E-ACC B-INJURY E-INJURY O O
어제 출근중에 추월하다가 교통사고가 났어요.,O S-LOC O S-ACC O
4월 16일에 교통사고를 당해 다리뒤쪽 인대가 파열됐습니다.,O O S-ACC O O B-INJURY E-INJURY
회사에서 일하다가 4월 6일날 난간을 넘다가 떨어져 어깨를 다쳤습니다.,O S-LOC O O O O S-ACC B-INJURY E-INJURY
계단에서 임시로 핸드레일 같은걸 설치해놓은곳에 걸리게되어 넘어지면서 다리를 심하게 접질렀습니다,O O O O O O S-ACC B-INJURY O E-INJURY
"일주일전 출근길 비보호 좌회전하다, 직진차량과 교통사고가 났습니다.",O S-LOC O O O S-ACC O
"출근길 교통사고가 났는데요 우선 4중충돌이고요, 앞에차가 1차사고로 3중발생후 제가 2차사고로 앞차와 사고가 났습니다.",S-LOC S-ACC O O O O O O O O O O O
컨베이어 벨트 위의 다른직원이 높이쌓은 물건이 쏟아져서 부딪혀 쌀이 들어있는 박스에 손목을 박았습니다.,O O O O O O O S-ACC O O O B-INJURY E-INJURY
제가 배달일중 교통사고로 크게 다쳐 4달 가량 입원해있었습니다.,O S-LOC S-ACC O O O O O
일하다 물건에 깔려서 손가락 골절이되어 수술을하고 핀을 박아둔 상태입니다.,S-LOC O S-ACC B-INJURY E-INJURY O O O O
아버지가 직장에서 프레스에 끼여 손가락 절단 사고를 당하셨습니다.,O S-LOC O S-ACC B-INJURY I-INJURY E-INJURY O
출근한지 3일 됐는데 덤프트럭의 전복으로 다쳣는데 산재처리되나요?,O O O B-ACC E-ACC O O
회사 작업 중 오른손 손가락 절단으로 수술을 두차례받았습니다.,B-LOC E-LOC O B-INJURY I-INJURY E-INJURY O O
제가 이번에 일하다가 넘어져 발목인대 파열 됐습니다.,O O S-LOC S-ACC B-INJURY E-INJURY O
아버지가 몇일 전 실내 건설 근로 중 추락하셔서 머리를 크게 다치셨어요,O O O O O S-LOC O S-ACC B-INJURY O E-INJURY
근무중 계단에서 내려오다가 바닥에 깔린 높이가 다른 장판을 인지하지못해 넘어졌습니다.,S-LOC O O O O O O O O S-ACC
일을 하다가 화상을 입어서 종합병원 가서 치료를 하는중입니다.,S-LOC O S-INJURY O O O O O
퇴근할때 동료랑 걷다가 앞서가던 다른 동료가 뒤로 휙 도는 바람에 그 사람 발에 걸려 넘어졌습니다.,S-LOC O O O O O O O O O O O O B-ACC E-ACC
건설 현장에서 시스템 비계 설치일을 하다 낙상사고를 당하였습니다.,B-LOC E-LOC O O O O S-ACC O
제가 오늘 일하다가 판넬에 손가락이 끼어 갈라져서 4바늘을 찝었어요,O O O O O S-ACC O O O
작업도중 추락하여 요추1번골절로 인하여 현재치료중입니다,S-LOC S-ACC S-INJURY O O
와이어에 손가락이 끼어 좀 심하게 다쳤습니다 신경이 70%끈어졌고 일단 봉합은 한상태입니다.,B-ACC O E-ACC O O O O O O O O
한달전에 개인주택 공사현장 에서 작업하다 3m높이 에서 추락하여 발뒤꿈치 골절과 척추손상을 입었는데요..,O O S-LOC O O O O S-ACC B-INJURY E-INJURY O O
일을 하던 도중 팔과 팔뚝에 심한 화상을 입어 몇 차례 통원 치료를 받는중입니다.,S-LOC O O O B-INJURY O E-INJURY O O O O O O
납품 기사님이 납품가셨다가 타업체 지게차운전자의 미숙으로 사고가 발생했습니다.,O O O O O O O O
고깃집에서 알바를 하다가 사장님이 실수로 뜨거운 기름을 손에 부어서 화상을 입었어요,O S-LOC O O O O O O O S-INJURY O
출퇴근 방법이 같은회사 직원차에 동승하고 가면서 교통사고가 발생할 경우에도 산재보상이 가능한가요?,S-LOC O O O O O S-ACC O O O O
아버지가 근무중 지게차와 부딛혀 수술중 중환자실에 계신상태입니다.,O S-LOC O S-ACC O O O
출근하다 횡단보도에서 마주오는 차량에 치어 교통사고를 당했습니다.,S-LOC O O O O S-ACC O
건설현장 에서 떨어지는 전선케이블에 부딛혀 손목이 부러졌습니다.,S-LOC O O O S-ACC B-INJURY E-INJURY
새벽배달을 나가던 과정에서 계단에서 미끄러져 발목이 부러졌습니다.,S-LOC O O O S-ACC B-INJURY E-INJURY
전동글라인더 작업을 하다가 글라인더에 발가락이 끼어 찢어졌습니다.,O S-LOC O O O S-ACC O
신랑이 3층에서 떨어지는 판넬에 깔려 다리를 다쳤습니다.,O O S-ACC O O B-INJURY E-INJURY
주방에서 냉면자르는 기계에 손이 끼어 근육손상 봉합수술을 했습니다.,O O B-ACC O E-ACC B-INJURY E-INJURY O
작업장에서 운반을 하던중 시멘트 포대에 깔려 인대가 파열 되었습니다.,S-LOC O O O B-ACC E-ACC B-INJURY E-INJURY O
마무리 작업중 미끄러운 계단에서 넘어졌습니다.,O S-LOC O O S-ACC
배달중 교통사고가 나서 현재까지 2개월쨰 입원중입니다.,S-LOC S-ACC O O O O
저의 부주의로 기계에 손가락을 끼었는데 이것도 산재처리 가능한가요?,O O O B-ACC E-ACC O O O
남자친구가 회사에서 일하던중 사다리에서 떨어져서 다리에 철근박는 수술을 했습니다,O O S-LOC B-ACC E-ACC B-INJURY E-INJURY O O
얼마전 작업중 쏟아져내리는 토사에 파묻혀 허벅지 근육이 파열됐습니다.,O S-LOC O O S-ACC B-INJURY E-INJURY O
2층에 있는 작업도구를 꺼내기위해 사다리에 올라가다 떨어지는 사고를 당했습니다.,O O O O B-ACC O E-ACC O O
제가 학습지 선생님인데 보행중 아이가 타고오던 자전거에 부딛혀 허리를 삐끗했습니다.,O O O O O O B-ACC E-ACC B-INJURY E-INJURY
최근 현장에서 작업중 떨어지는 물건을 피하지 못해 손가락이 잘렸습니다.,O O S-LOC B-ACC E-ACC O O B-INJURY E-INJURY
건설 현장에서 넘어져 연골 절제 수술을 했습니다.,S-LOC O S-ACC B-INJURY I-INJURY E-INJURY O
회사에서 불이나서 3도화상을 입어 병원을 다니고 있습니다.,O S-ACC S-INJURY O O O O
아버지가 출근중 교통사고를 당하셔 수술후 지금 중환자실에 계십니다.,O S-LOC S-ACC O O O O O
퇴근중 횡단보도를 건너던중 신호를 무시하고 오던 차량에 치었습니다.,S-LOC O O O O O B-ACC E-ACC
전기 전선작업중 케이블을 천장에서 내리는 과정에서 천장이 무너져 머리를 부딛혔습니다.,O S-LOC O O O O B-ACC I-ACC O E-ACC
배달중 3층에서 걸어내려오다 계단에서 넘어져 발목인대가 파열됬습니다.,S-LOC O O O S-ACC B-INJURY E-INJURY
소형전동 글라인더로 절삭 작업을 하던중 튄 파편이 눈에 튀어 병원을 다니고있습니다.,O O O S-LOC O O O O O O O
신랑이 일을 하다가 사다리에서 떨어져 무릎인대가 파열됐습니다.,O S-LOC O B-ACC E-ACC B-INJURY E-INJURY
식당에서 일을하다 화장실에서 넘어져 뇌진탕을 입었습니다.,O S-LOC O S-ACC B-INJURY O
작업장에서 시멘트 포대 운반을 하던 중에 무게를 이기지 못하고 넘어져 경추1번 손상을 입었습니다.,S-LOC O O O O O O O O S-ACC B-INJURY E-INJURY O
작업중 2층의 화장실을 가다가 계단에서 굴러 떨어졌습니다.,S-LOC O O O O B-ACC E-ACC
배달중 마주오는 오토바이에 치이는 교통사고를 당했습니다.,S-LOC O O O S-ACC O
나무 절삭 작업중 그라인더에 손가락을 끼어 첫째마디가 부러졌습니다.,O O S-LOC O B-ACC E-ACC B-INJURY E-INJURY
남자친구가 회사에서 일하다가 화재사고가 나서 화상을 입었습니다.,O O S-LOC S-ACC O S-INJURY O
작업중에 옆사람이 걷어낸 돌에 머리를 부딛혀 치료를 받는 중입니다.,S-LOC O O B-ACC O E-ACC O O O
무거운 공구를 들고가던중 넘어져 손목이 부러졌습니다.,O O O S-ACC B-INJURY E-INJURY
가정방문을 나가던중 얼어있는 도로에 미끄러져 넘어졌습니다.,O O O O B-ACC E-ACC
현장에서 고장난 기계를 수리하던 중에 작동 미숙으로 손가락이 끼었습니다.,S-LOC O O O O O O B-ACC E-ACC
건설현장 에서 작업지시를 하다 포크레인에 머리를 세게 부딛혔습니다.,S-LOC O O O O O O S-ACC
치킨을 튀기다가 튄 기름에 손등에 3도화상을 입었습니다.,O O O O O S-INJURY O
무거운 장비를 들다가 손에서 미끄러져 장비에 깔렸습니다.,O O O O O B-ACC E-ACC
일하던중 바람이 강하게 불어 문에 손가락을 찧어 깁스를 하고있습니다.,S-LOC O O O B-ACC O E-ACC O O
미끄러운 바닥에서 균형을 잡지못해 넘어져 발목을 접질렀습니다.,O O O O S-ACC B-INJURY E-INJURY
기계를 수리하는 작업중 손가락이 껴 뼈가 으스러졌습니다.,O O S-LOC B-ACC E-ACC B-INJURY E-INJURY
사다리를 타고 청소를 하던중 낙상해 손가락이 부러졌습니다.,O O O O S-ACC B-INJURY E-INJURY
일하다가 무너지는 천장에서 떨어진 철골에 부딪혀 어깨가 부러졌습니다.,S-LOC O O O B-ACC E-ACC B-INJURY E-INJURY
출근길에 마주오는 전동킥보드와 부딪혀 골절을 당했습니다.,S-LOC O O S-ACC S-INJURY O
포크레인이 치우던 돌에 부딪혀 발등이 부서졌습니다.,O O B-ACC E-ACC B-INJURY E-INJURY
신랑이 일하다가 창고에있는 물품에 깔려 입원중입니다.,O O O B-ACC E-ACC O
고기굽는 아르바이트를 하다가 숯불에 화상을 입었습니다.,O S-LOC O O S-INJURY O
다른 작업자와 장비를 옮기던중 장비를 놓쳐 장비에 깔려 발가락 골절을 당했습니다.,O O O O O O B-ACC E-ACC B-INJURY E-INJURY O
앞선 작업자가 문을 닫는걸 확인하지 못하고 문에 손가락을 찧어 골절상을 당했습니다.,O O O O O O B-ACC O E-ACC S-INJURY O
냉동창고의 바닥이 너무 미끄러워 넘어져 손목이 부러졌습니다.,O O O O S-ACC B-INJURY E-INJURY
